,기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율,월
0,강릉시,2976083.0,14.4,1월
1,고성군,943992.0,4.6,1월
2,동해시,925393.0,4.5,1월
3,삼척시,863188.0,4.2,1월
4,속초시,1994819.0,9.6,1월
5,양구군,195001.0,0.9,1월
6,양양군,1237698.0,6.0,1월
7,영월군,426306.0,2.1,1월
8,원주시,2278353.0,11.0,1월
9,인제군,637454.0,3.1,1월
10,정선군,722350.0,3.5,1월
11,철원군,510168.0,2.5,1월
12,춘천시,2314376.0,11.2,1월
13,태백시,420357.0,2.0,1월
14,평창군,1603492.0,7.7,1월
15,홍천군,1386206.0,6.7,1월
16,화천군,287075.0,1.4,1월
17,횡성군,998242.0,4.8,1월
18,가평군,1712705.0,1.2,1월
19,고양시 덕양구,4897463.0,3.5,1월
20,고양시 일산동구,4793964.0,3.5,1월
21,고양시 일산서구,3246077.0,2.3,1월
22,과천시,1434912.0,1.0,1월
23,광명시,3085035.0,2.2,1월
24,광주시,3599182.0,2.6,1월
25,구리시,3487338.0,2.5,1월
26,군포시,2045717.0,1.5,1월
27,김포시,4041730.0,2.9,1월
28,남양주시,5334936.0,3.9,1월
29,동두천시,713865.0,0.5,1월
30,부천시,5486961.0,4.0,1월
31,성남시 분당구,6599185.0,4.8,1월
32,성남시 수정구,2977125.0,2.2,1월
33,성남시 중원구,2004929.0,1.4,1월
34,수원시 권선구,3410074.0,2.5,1월
35,수원시 영통구,4189255.0,3.0,1월
36,수원시 장안구,2716311.0,2.0,1월
37,수원시 팔달구,4594449.0,3.3,1월
38,시흥시,3955843.0,2.9,1월
39,안산시 단원구,3790334.0,2.7,1월
40,안산시 상록구,2180225.0,1.6,1월
41,안성시,2607844.0,1.9,1월
42,안양시 동안구,3255922.0,2.4,1월
43,안양시 만안구,2204132.0,1.6,1월
44,양주시,2368273.0,1.7,1월
45,양평군,2438635.0,1.8,1월
46,여주시,1741173.0,1.3,1월
47,연천군,604814.0,0.4,1월
48,오산시,1997877.0,1.4,1월
49,용인시 기흥구,4544269.0,3.3,1월
50,용인시 수지구,2792108.0,2.0,1월
51,용인시 처인구,3325355.0,2.4,1월
52,의왕시,2117561.0,1.5,1월
53,의정부시,3248784.0,2.3,1월
54,이천시,3175712.0,2.3,1월
55,파주시,4235281.0,3.1,1월
56,평택시,3510280.0,2.5,1월
57,포천시,2168337.0,1.6,1월
58,하남시,4385775.0,3.2,1월
59,화성시,7307793.0,5.3,1월
60,거제시,1949944.0,6.6,1월
61,거창군,568107.0,1.9,1월
62,고성군,699925.0,2.4,1월
63,김해시,3357591.0,11.3,1월
64,남해군,709015.0,2.4,1월
65,밀양시,1120901.0,3.8,1월
66,사천시,1256757.0,4.2,1월
67,산청군,444672.0,1.5,1월
68,양산시,2671079.0,9.0,1월
69,의령군,326794.0,1.1,1월
70,진주시,1801045.0,6.1,1월
71,창녕군,752776.0,2.5,1월
72,창원시 마산합포구,2125620.0,7.2,1월
73,창원시 마산회원구,1652372.0,5.6,1월
74,창원시 성산구,2739566.0,9.2,1월
75,창원시 의창구,2442115.0,8.2,1월
76,창원시 진해구,1457526.0,4.9,1월
77,통영시,1381015.0,4.7,1월
78,하동군,499283.0,1.7,1월
79,함안군,798198.0,2.7,1월
80,함양군,380983.0,1.3,1월
81,합천군,503721.0,1.7,1월
82,경산시,2237933.0,8.8,1월
83,경주시,3340642.0,13.1,1월
84,고령군,446531.0,1.8,1월
85,구미시,2044262.0,8.0,1월
86,군위군,493189.0,1.9,1월
87,김천시,923825.0,3.6,1월
88,문경시,746918.0,2.9,1월
89,봉화군,318438.0,1.3,1월
90,상주시,933731.0,3.7,1월
91,성주군,530049.0,2.1,1월
92,안동시,1405041.0,5.5,1월
