,기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율,월
0,강릉시,2976083.0,14.4,1월
1,동해시,925393.0,4.5,1월
2,속초시,1994819.0,9.6,1월
3,인제군,637454.0,3.1,1월
4,경주시,3340642.0,13.1,1월
5,단양군,509990.0,2.9,1월
6,서귀포시,4400043.0,44.0,1월
7,제주시,5590239.0,56.0,1월
8,여수시,2199683.0,11.7,1월
9,장흥군,441804.0,2.3,1월
10,속초시,1561175.0,9.0,2월
11,춘천시,2035530.0,11.8,2월
12,거제시,1612271.0,6.3,2월
13,경주시,2916230.0,13.4,2월
14,군산시,1545298.0,10.7,2월
15,서귀포시,3726626.0,43.5,2월
16,제주시,4831029.0,56.5,2월
17,태안군,938875.0,4.9,2월
18,신안군,401588.0,2.5,2월
19,여수시,1798978.0,11.4,2월
20,강릉시,2298799.0,13.3,3월
21,인제군,449793.0,2.6,3월
22,거제시,1623444.0,5.7,3월
23,경주시,2912118.0,12.1,3월
24,서귀포시,3496819.0,42.7,3월
25,제주시,4692568.0,57.3,3월
26,태안군,1027296.0,4.5,3월
27,신안군,467517.0,2.6,3월
28,여수시,1804711.0,9.9,3월
29,장흥군,340096.0,1.9,3월
30,강릉시,3008889.0,14.5,4월
31,속초시,1830894.0,8.8,4월
32,인제군,627782.0,3.0,4월
33,경주시,3761701.0,14.7,4월
34,군산시,1785335.0,10.3,4월
35,서귀포시,4254954.0,44.9,4월
36,제주시,5215911.0,55.1,4월
37,목포시,1887145.0,9.4,4월
38,여수시,1947164.0,9.7,4월
39,완도군,429616.0,2.1,4월
40,속초시,2218175.0,9.1,5월
41,양양군,1625010.0,6.7,5월
42,옥천군,982553.0,4.5,5월
43,순창군,407054.0,2.2,5월
44,서귀포시,4127214.0,44.2,5월
45,제주시,5211568.0,55.8,5월
46,공주시,2492136.0,8.8,5월
47,서천군,992666.0,3.5,5월
48,보성군,623817.0,3.0,5월
49,여수시,2206161.0,10.6,5월
50,고성군,1244150.0,5.4,6월
51,속초시,2189126.0,9.4,6월
52,인제군,852258.0,3.7,6월
53,통영시,1346999.0,4.5,6월
54,경주시,3557181.0,13.4,6월
55,충주시,2042942.0,10.2,6월
56,서귀포시,4020207.0,42.2,6월
57,제주시,5497719.0,57.8,6월
58,태안군,1724934.0,6.7,6월
59,진도군,400771.0,2.1,6월
60,강릉시,3551243.0,12.7,7월
61,동해시,1228212.0,4.4,7월
62,양양군,1878677.0,6.7,7월
63,인제군,1026724.0,3.7,7월
64,거제시,2361457.0,7.0,7월
65,울진군,873583.0,2.6,7월
66,서귀포시,4908776.0,40.2,7월
67,제주시,7291538.0,59.8,7월
68,부여군,1079251.0,4.0,7월
69,여수시,3163984.0,11.9,7월
70,동해시,1264125.0,4.1,8월
71,속초시,3005110.0,9.8,8월
72,양양군,2191197.0,7.2,8월
73,인제군,1156567.0,3.8,8월
74,영양군,193928.0,0.6,8월
75,고창군,942282.0,4.6,8월
76,서귀포시,4773560.0,43.7,8월
77,제주시,6155493.0,56.3,8월
78,당진시,2109455.0,7.6,8월
79,여수시,2988285.0,12.9,8월
80,강릉시,2975029.0,12.6,9월
81,양양군,1373029.0,5.8,9월
82,평창군,1399027.0,5.9,9월
83,화천군,379607.0,1.6,9월
84,거제시,1914934.0,5.6,9월
85,하동군,713429.0,2.1,9월
86,경주시,3966844.0,12.7,9월
87,단양군,894910.0,3.9,9월
88,서귀포시,3763499.0,43.0,9월
89,제주시,4988408.0,57.0,9월
90,속초시,2528720.0,9.4,10월
91,인제군,1226112.0,4.6,10월
92,의령군,422003.0,1.2,10월
93,하동군,802567.0,2.2,10월
94,경주시,4632723.0,14.5,10월
95,단양군,1172589.0,5.1,10월
96,달서구,4533737.0,15.1,10월
97,고창군,1107828.0,5.1,10월
98,제주시,6001209.0,55.8,10월
99,영암군,1005707.0,4.2,10월
100,삼척시,864314.0,4.3,11월
101,거제시,1745738.0,5.7,11월
102,밀양시,1316343.0,4.3,11월
103,경주시,3753114.0,14.0,11월
104,단양군,789068.0,3.9,11월
105,서귀포시,4000708.0,43.5,11월
106,제주시,5196776.0,56.5,11월
107,태안군,1257973.0,5.0,11월
108,강진군,463366.0,2.3,11월
109,여수시,2115481.0,10.3,11월
110,강릉시,2529498.0,13.7,12월
111,동해시,847918.0,4.6,12월
112,속초시,1894441.0,10.2,12월
113,인제군,531890.0,2.9,12월
114,춘천시,2172745.0,11.7,12월
115,경주시,3417810.0,13.6,12월
116,완주군,1393930.0,8.7,12월
117,서귀포시,3580248.0,43.0,12월
118,제주시,4749068.0,57.0,12월
119,여수시,2008720.0,11.5,12월
