,지역,언급수
0,제주시,41
1,경주시,27
2,서귀포시,26
3,여수시,17
4,거제시,17
5,강릉시,14
6,신안군,12
7,중구,12
8,태안군,11
9,인제군,10
10,장흥군,10
11,광양시,9
12,당진시,9
13,완도군,8
14,속초시,7
15,북구,7
16,울릉군,7
17,해운대구,7
18,구례군,7
19,공주시,7
20,남구,7
21,가평군,6
22,강화군,6
23,순천시,6
24,고성군,6
25,홍성군,5
26,서산시,5
27,영주시,5
28,동구,5
29,청송군,5
30,예산군,4
31,보령시,4
32,담양군,4
33,강서구,4
34,부안군,4
35,남원시,4
36,파주시,4
37,성동구,4
38,하동군,3
39,장성군,3
40,제천시,3
41,충주시,3
42,사하구,3
43,영덕군,3
44,동해시,3
45,원주시,3
46,진안군,3
47,광주시,3
48,보은군,3
49,서구,3
50,진도군,3
51,나주시,3
52,시흥시,3
53,고창군,2
54,단양군,2
55,논산시,2
56,수성구,2
57,춘천시,2
58,김포시,2
59,통영시,2
60,화순군,2
61,강남구,2
62,마포구,2
63,철원군,2
64,사천시,2
65,양양군,2
66,수영구,2
67,평창군,2
68,유성구,2
69,강진군,2
70,정읍시,2
71,연제구,2
72,남동구,2
73,임실군,2
74,달서구,2
75,무주군,2
76,영도구,2
77,군위군,1
78,밀양시,1
79,성북구,1
80,진천군,1
81,달성군,1
82,구미시,1
83,서초구,1
84,양평군,1
85,옹진군,1
86,경산시,1
87,노원구,1
88,김해시,1
89,평택시,1
90,하남시,1
91,동래구,1
92,군산시,1
93,횡성군,1
94,완주군,1
95,옥천군,1
96,용산구,1
97,장수군,1
98,이천시,1
99,종로구,1
100,고령군,1
101,고흥군,1
102,포천시,1
103,홍천군,1
104,정선군,1
105,해남군,1
106,익산시,1
