,지역,언급수,월
0,제주시,79,1월
1,서귀포시,67,1월
2,강릉시,49,1월
3,장흥군,27,1월
4,경주시,26,1월
5,동해시,23,1월
6,여수시,19,1월
7,속초시,19,1월
8,인제군,17,1월
9,단양군,16,1월
0,서귀포시,51,2월
1,제주시,35,2월
2,여수시,20,2월
3,속초시,17,2월
4,군산시,17,2월
5,태안군,15,2월
6,신안군,15,2월
7,춘천시,15,2월
8,거제시,14,2월
9,경주시,13,2월
0,제주시,41,3월
1,경주시,27,3월
2,서귀포시,26,3월
3,여수시,17,3월
4,거제시,17,3월
5,강릉시,14,3월
6,신안군,12,3월
7,태안군,11,3월
8,인제군,10,3월
9,장흥군,10,3월
0,제주시,44,4월
1,강릉시,36,4월
2,서귀포시,36,4월
3,경주시,30,4월
4,속초시,29,4월
5,인제군,20,4월
6,완도군,17,4월
7,여수시,17,4월
8,목포시,15,4월
9,군산시,14,4월
0,서귀포시,56,5월
1,보성군,46,5월
2,제주시,46,5월
3,옥천군,27,5월
4,서천군,24,5월
5,공주시,23,5월
6,속초시,23,5월
7,여수시,22,5월
8,순창군,22,5월
9,양양군,21,5월
0,경주시,84,6월
1,제주시,29,6월
2,인제군,25,6월
3,태안군,23,6월
4,진도군,22,6월
5,서귀포시,20,6월
6,속초시,17,6월
7,통영시,16,6월
8,고성군,16,6월
9,충주시,16,6월
0,제주시,69,7월
1,양양군,53,7월
2,여수시,44,7월
3,부여군,38,7월
4,강릉시,36,7월
5,서귀포시,34,7월
6,인제군,23,7월
7,거제시,21,7월
8,울진군,19,7월
9,동해시,17,7월
0,제주시,89,8월
1,영양군,36,8월
2,서귀포시,30,8월
3,양양군,26,8월
4,속초시,24,8월
5,여수시,19,8월
6,인제군,18,8월
7,동해시,16,8월
8,당진시,16,8월
9,고창군,15,8월
0,서귀포시,55,9월
1,제주시,45,9월
2,경주시,27,9월
3,강릉시,27,9월
4,거제시,21,9월
5,하동군,20,9월
6,양양군,20,9월
7,단양군,20,9월
8,평창군,20,9월
9,화천군,20,9월
0,고창군,109,10월
1,제주시,51,10월
2,인제군,50,10월
3,달서구,32,10월
4,하동군,31,10월
5,속초시,30,10월
6,의령군,26,10월
7,단양군,25,10월
8,경주시,24,10월
9,영암군,23,10월
0,제주시,47,11월
1,밀양시,38,11월
2,서귀포시,38,11월
3,거제시,36,11월
4,강진군,29,11월
5,단양군,23,11월
6,경주시,22,11월
7,여수시,22,11월
8,태안군,21,11월
9,삼척시,20,11월
0,제주시,63,12월
1,속초시,49,12월
2,서귀포시,47,12월
3,인제군,41,12월
4,강릉시,36,12월
5,춘천시,35,12월
6,원주시,33,12월
7,경주시,23,12월
8,여수시,23,12월
9,동해시,22,12월
