,지역,키워드,언급수,월
0,강릉시,강릉,4265,4월
1,강릉시,여행,1788,4월
2,강릉시,바다,1203,4월
3,강릉시,카페,1144,4월
4,강릉시,사진,1077,4월
5,강릉시,해변,978,4월
6,강릉시,커피,826,4월
7,강릉시,호텔,721,4월
8,강릉시,강릉시,652,4월
9,강릉시,맛집,570,4월
10,강릉시,순두부,568,4월
11,강릉시,뷰,537,4월
12,강릉시,벚꽃,532,4월
13,강릉시,숙소,482,4월
14,강릉시,관광,480,4월
15,강릉시,주차,450,4월
16,강릉시,빵,430,4월
17,강릉시,중앙시장,352,4월
18,강릉시,초당,343,4월
19,강릉시,회,322,4월
20,강릉시,오션,314,4월
21,강릉시,경포,309,4월
22,강릉시,짬뽕,295,4월
23,강릉시,주문진,293,4월
24,강릉시,밥,283,4월
25,강릉시,가족,280,4월
26,강릉시,신라,278,4월
27,강릉시,분위기,277,4월
28,강릉시,칼국수,276,4월
29,강릉시,공원,272,4월
30,경주시,경주,5053,4월
31,경주시,벚꽃,2431,4월
32,경주시,여행,2144,4월
33,경주시,사진,1664,4월
34,경주시,불국사,732,4월
35,경주시,포토존,713,4월
36,경주시,카페,706,4월
37,경주시,대릉,694,4월
38,경주시,숙소,693,4월
39,경주시,경주시,676,4월
40,경주시,월정교,673,4월
41,경주시,첨성대,604,4월
42,경주시,주차,587,4월
43,경주시,맛집,534,4월
44,경주시,보문,513,4월
45,경주시,꽃,411,4월
46,경주시,경북,403,4월
47,경주시,빵,398,4월
48,경주시,나무,391,4월
49,경주시,커피,382,4월
50,경주시,야경,364,4월
51,경주시,봄,359,4월
52,경주시,명소,348,4월
53,경주시,호텔,335,4월
54,경주시,동궁,324,4월
55,경주시,날씨,319,4월
56,경주시,펜션,312,4월
57,경주시,바다,309,4월
58,경주시,풍경,306,4월
59,경주시,신라,294,4월
60,군산시,군산,3336,4월
61,군산시,카페,1532,4월
62,군산시,여행,1035,4월
63,군산시,공원,908,4월
64,군산시,사진,669,4월
65,군산시,군산시,634,4월
66,군산시,맛집,605,4월
67,군산시,박물관,543,4월
68,군산시,커피,456,4월
69,군산시,서울,431,4월
70,군산시,선유도,402,4월
71,군산시,바다,389,4월
72,군산시,짬뽕,371,4월
73,군산시,빵,350,4월
74,군산시,주차,335,4월
75,군산시,벚꽃,332,4월
76,군산시,산,311,4월
77,군산시,역사,296,4월
78,군산시,섬,283,4월
79,군산시,호수,269,4월
80,군산시,은파,244,4월
81,군산시,철길,243,4월
82,군산시,밥,235,4월
83,군산시,관광,223,4월
84,군산시,부산,219,4월
85,군산시,새만금,213,4월
86,군산시,고추,209,4월
87,군산시,분위기,208,4월
88,군산시,사진관,208,4월
89,군산시,짜장,202,4월
90,목포시,목포,3230,4월
91,목포시,카페,1242,4월
92,목포시,맛집,765,4월
93,목포시,여행,711,4월
94,목포시,공원,681,4월
95,목포시,유달산,474,4월
96,목포시,목포시,472,4월
97,목포시,커피,444,4월
98,목포시,빵,396,4월
99,목포시,박물관,391,4월
100,목포시,바다,376,4월
101,목포시,사진,372,4월
102,목포시,홍어,356,4월
103,목포시,낙지,351,4월
104,목포시,산,340,4월
105,목포시,회,337,4월
106,목포시,케이블카,318,4월
107,목포시,바게트,310,4월
108,목포시,고하도,272,4월
109,목포시,치즈,248,4월
110,목포시,크림,246,4월
111,목포시,새우,234,4월
112,목포시,북항,223,4월
113,목포시,섬,223,4월
114,목포시,식당,221,4월
115,목포시,음식,218,4월
116,목포시,센터,215,4월
117,목포시,고기,213,4월
118,목포시,부산,204,4월
119,목포시,해상,204,4월
120,서귀포시,제주,2691,4월
121,서귀포시,여행,2143,4월
122,서귀포시,제주도,1830,4월
123,서귀포시,사진,1317,4월
124,서귀포시,카페,851,4월
125,서귀포시,서귀포,758,4월
126,서귀포시,호텔,642,4월
127,서귀포시,숙소,587,4월
128,서귀포시,바다,543,4월
129,서귀포시,유채꽃,540,4월
130,서귀포시,벚꽃,459,4월
131,서귀포시,맛집,418,4월
132,서귀포시,주차,380,4월
133,서귀포시,풍경,362,4월
134,서귀포시,꽃,341,4월
135,서귀포시,산방산,337,4월
136,서귀포시,날씨,333,4월
137,서귀포시,커피,323,4월
138,서귀포시,갈치,322,4월
139,서귀포시,뷰,291,4월
140,서귀포시,수국,277,4월
141,서귀포시,가족,270,4월
142,서귀포시,고기,270,4월
143,서귀포시,식당,262,4월
144,서귀포시,공원,260,4월
145,서귀포시,체험,254,4월
146,서귀포시,돼지,248,4월
147,서귀포시,봄,248,4월
148,서귀포시,밭,245,4월
149,서귀포시,음식,229,4월
150,속초시,속초,5996,4월
