,지역,키워드,언급수,월
0,강릉시,강릉,4712,1월
1,강릉시,여행,2118,1월
2,강릉시,바다,1534,1월
3,강릉시,사진,1488,1월
4,강릉시,커피,1193,1월
5,강릉시,해변,1178,1월
6,강릉시,카페,1086,1월
7,강릉시,강원도,798,1월
8,강릉시,순두부,769,1월
9,강릉시,강릉시,736,1월
10,강릉시,맛집,666,1월
11,강릉시,겨울,642,1월
12,강릉시,빵,605,1월
13,강릉시,호텔,557,1월
14,강릉시,숙소,536,1월
15,강릉시,주차,508,1월
16,강릉시,회,487,1월
17,강릉시,정동진,456,1월
18,강릉시,초당,440,1월
19,강릉시,주문진,438,1월
20,강릉시,아르떼,419,1월
21,강릉시,뷰,394,1월
22,강릉시,아트,377,1월
23,강릉시,전시,347,1월
24,강릉시,칼국수,330,1월
25,강릉시,작품,330,1월
26,강릉시,가족,324,1월
27,강릉시,박물관,312,1월
28,강릉시,동해,307,1월
29,강릉시,짬뽕,303,1월
30,경주시,경주,4144,1월
31,경주시,여행,2004,1월
32,경주시,사진,1244,1월
33,경주시,카페,1121,1월
34,경주시,월정교,813,1월
35,경주시,숙소,660,1월
36,경주시,불국사,618,1월
37,경주시,경주시,586,1월
38,경주시,첨성대,552,1월
39,경주시,맛집,545,1월
40,경주시,커피,447,1월
41,경주시,빵,436,1월
42,경주시,바다,426,1월
43,경주시,주차,421,1월
44,경주시,대릉,414,1월
45,경주시,겨울,409,1월
46,경주시,경북,402,1월
47,경주시,동궁,391,1월
48,경주시,밥,352,1월
49,경주시,야경,347,1월
50,경주시,호텔,342,1월
51,경주시,신라,337,1월
52,경주시,월지,327,1월
53,경주시,가족,322,1월
54,경주시,분위기,322,1월
55,경주시,뷰,309,1월
56,경주시,체험,305,1월
57,경주시,예약,284,1월
58,경주시,입장,275,1월
59,경주시,관광,272,1월
60,단양군,단양,3192,1월
61,단양군,여행,1496,1월
62,단양군,마늘,1355,1월
63,단양군,사진,1227,1월
64,단양군,만천하스카이워크,1139,1월
65,단양군,시장,886,1월
66,단양군,카페,776,1월
67,단양군,패러글라이딩,715,1월
68,단양군,풍경,485,1월
69,단양군,숙소,474,1월
70,단양군,터널,471,1월
71,단양군,맛집,458,1월
72,단양군,닭강정,397,1월
73,단양군,빵,378,1월
74,단양군,산,377,1월
75,단양군,떡갈비,369,1월
76,단양군,도담삼봉,365,1월
77,단양군,주차,339,1월
78,단양군,아쿠아리움,325,1월
79,단양군,겨울,320,1월
80,단양군,날씨,292,1월
81,단양군,카페산,286,1월
82,단양군,뷰,286,1월
83,단양군,순대,280,1월
84,단양군,버스,272,1월
85,단양군,마늘빵,270,1월
86,단양군,커피,266,1월
87,단양군,만두,266,1월
88,단양군,식당,262,1월
89,단양군,동굴,256,1월
90,동해시,동해,2215,1월
91,동해시,바다,1749,1월
92,동해시,여행,1339,1월
93,동해시,촛대바위,1313,1월
94,동해시,동해시,914,1월
95,동해시,카페,760,1월
96,동해시,스카이밸리,736,1월
97,동해시,맛집,640,1월
98,동해시,해변,634,1월
99,동해시,강원도,615,1월
100,동해시,등대,579,1월
101,동해시,묵호,514,1월
102,동해시,삼척,474,1월
103,동해시,전망대,465,1월
104,동해시,해수욕장,444,1월
105,동해시,숙소,398,1월
106,동해시,일출,387,1월
107,동해시,묵호항,387,1월
108,동해시,뷰,381,1월
109,동해시,강릉,358,1월
110,동해시,논골,357,1월
111,동해시,겨울,349,1월
112,동해시,주문,342,1월
113,동해시,파도,327,1월
114,동해시,추암,286,1월
115,동해시,회,285,1월
116,동해시,다리,278,1월
117,동해시,대게,273,1월
118,동해시,호텔,265,1월
119,동해시,주차,265,1월
120,서귀포시,제주,2925,1월
121,서귀포시,여행,2347,1월
122,서귀포시,제주도,2314,1월
123,서귀포시,사진,1466,1월
124,서귀포시,카페,1179,1월
125,서귀포시,바다,742,1월
126,서귀포시,서귀포,718,1월
127,서귀포시,서귀포시,699,1월
128,서귀포시,겨울,660,1월
129,서귀포시,숙소,632,1월
130,서귀포시,동백꽃,465,1월
131,서귀포시,체험,464,1월
132,서귀포시,맛집,438,1월
133,서귀포시,호텔,438,1월
134,서귀포시,풍경,428,1월
135,서귀포시,커피,415,1월
136,서귀포시,주차,410,1월
137,서귀포시,귤,409,1월
138,서귀포시,날씨,399,1월
139,서귀포시,뷰,375,1월
140,서귀포시,한라산,361,1월
141,서귀포시,감귤,295,1월
142,서귀포시,해변,288,1월
143,서귀포시,오름,286,1월
144,서귀포시,돼지,285,1월
145,서귀포시,고기,284,1월
146,서귀포시,식당,269,1월
147,서귀포시,가격,267,1월
148,서귀포시,도로,256,1월
149,서귀포시,나무,256,1월
150,속초시,속초,4662,1월
151,속초시,여행,1731,1월
152,속초시,카페,1505,1월
153,속초시,바다,1237,1월
154,속초시,강원도,914,1월
155,속초시,맛집,905,1월
156,속초시,사진,756,1월
157,속초시,뷰,655,1월
158,속초시,대게,650,1월
159,속초시,속초시,616,1월
160,속초시,설악산,593,1월
161,속초시,숙소,581,1월
162,속초시,집,577,1월
163,속초시,커피,573,1월
164,속초시,회,560,1월
165,속초시,주차,543,1월
166,속초시,빵,508,1월
167,속초시,겨울,504,1월
168,속초시,호텔,457,1월
169,속초시,닭강정,437,1월
170,속초시,물회,418,1월
171,속초시,중앙시장,410,1월
172,속초시,게,355,1월
173,속초시,홍게,355,1월
174,속초시,음식,310,1월
175,속초시,관광,304,1월
176,속초시,해변,300,1월
177,속초시,오션,296,1월
178,속초시,해수욕장,292,1월
179,속초시,오징어,292,1월
180,여수시,여수,5672,1월
181,여수시,여행,1959,1월
182,여수시,바다,1616,1월
183,여수시,카페,1576,1월
184,여수시,사진,1205,1월
185,여수시,뷰,823,1월
186,여수시,오동도,731,1월
187,여수시,여수시,688,1월
188,여수시,맛집,674,1월
189,여수시,호텔,638,1월
190,여수시,밤,609,1월
191,여수시,이순신,573,1월
192,여수시,게장,545,1월
193,여수시,김밥,499,1월
194,여수시,공원,482,1월
195,여수시,주차,475,1월
196,여수시,숙소,463,1월
197,여수시,케이블카,459,1월
198,여수시,오션,450,1월
199,여수시,광장,431,1월
200,여수시,커피,390,1월
201,여수시,전남,389,1월
202,여수시,풍경,360,1월
203,여수시,돌산,356,1월
204,여수시,낭만,344,1월
205,여수시,밥,325,1월
206,여수시,갓김치,323,1월
207,여수시,버거,300,1월
208,여수시,펜션,299,1월
209,여수시,분위기,290,1월
210,인제군,인제,2132,1월
211,인제군,여행,1840,1월
212,인제군,사진,1463,1월
213,인제군,자작나무,1119,1월
214,인제군,강원도,1011,1월
215,인제군,자작나무숲,985,1월
216,인제군,겨울,985,1월
217,인제군,숲,826,1월
218,인제군,카페,680,1월
219,인제군,숙소,654,1월
220,인제군,속초,573,1월
221,인제군,맛집,487,1월
222,인제군,바다,484,1월
223,인제군,막국수,385,1월
224,인제군,풍경,381,1월
225,인제군,등산,365,1월
226,인제군,식당,361,1월
227,인제군,황태,352,1월
228,인제군,커피,349,1월
229,인제군,아이젠,346,1월
230,인제군,호텔,345,1월
231,인제군,산,337,1월
232,인제군,주차,305,1월
233,인제군,두부,301,1월
234,인제군,구경,299,1월
235,인제군,가족,288,1월
236,인제군,밥,286,1월
237,인제군,버스,281,1월
238,인제군,위치,276,1월
239,인제군,길이,272,1월
240,장흥군,장흥,1023,1월
241,장흥군,여행,929,1월
242,장흥군,사진,666,1월
243,장흥군,바다,378,1월
244,장흥군,카페,365,1월
245,장흥군,맛집,335,1월
246,장흥군,축제,334,1월
247,장흥군,광주,314,1월
248,장흥군,겨울,313,1월
249,장흥군,버스,299,1월
250,장흥군,식당,274,1월
251,장흥군,섬,256,1월
252,장흥군,공원,240,1월
253,장흥군,산,226,1월
254,장흥군,강진,214,1월
255,장흥군,자연,210,1월
256,장흥군,굴,210,1월
257,장흥군,목포,210,1월
258,장흥군,눈썰매장,209,1월
259,장흥군,숙소,207,1월
260,장흥군,풍경,207,1월
261,장흥군,유스퀘어,201,1월
262,장흥군,전남,194,1월
263,장흥군,전망대,191,1월
264,장흥군,시장,189,1월
265,장흥군,문화,186,1월
266,장흥군,보성,185,1월
267,장흥군,코로나,182,1월
268,장흥군,양주,177,1월
269,장흥군,작품,173,1월
270,제주시,제주,2757,1월
271,제주시,제주도,1575,1월
272,제주시,여행,1464,1월
273,제주시,제주시,1188,1월
274,제주시,카페,974,1월
275,제주시,사진,919,1월
276,제주시,맛집,889,1월
277,제주시,시간,869,1월
278,제주시,공항,645,1월
279,제주시,메뉴,597,1월
280,제주시,호텔,515,1월
281,제주시,숙소,510,1월
282,제주시,바다,465,1월
283,제주시,주차,456,1월
284,제주시,고기,401,1월
285,제주시,밥,369,1월
286,제주시,돼지,339,1월
287,제주시,식당,326,1월
288,제주시,커피,316,1월
289,제주시,새우,315,1월
290,제주시,김밥,315,1월
291,제주시,음식,314,1월
292,제주시,전복,285,1월
293,제주시,겨울,277,1월
294,제주시,라면,270,1월
295,제주시,시장,265,1월
296,제주시,뷰,265,1월
297,제주시,분위기,264,1월
298,제주시,해장국,257,1월
299,제주시,비행기,240,1월
300,거제시,거제,3180,2월
301,거제시,여행,1733,2월
302,거제시,거제도,1622,2월
303,거제시,카페,1258,2월
304,거제시,사진,1231,2월
305,거제시,바다,1173,2월
306,거제시,뷰,770,2월
307,거제시,맛집,729,2월
308,거제시,거제시,691,2월
309,거제시,포토존,606,2월
