,키워드,언급수
0,고창,3029
1,사진,1334
2,여행,1054
3,핑크,1001
4,농원,908
5,상하,775
6,카페,754
7,시간,737
8,사람,734
9,선운사,716
10,뮬리,709
11,고인돌,687
12,가을,627
13,축제,580
14,꽃,571
15,장어,538
16,코스,485
17,할로윈,484
18,체험,478
19,맛,457
20,주차장,429
21,방문,427
22,집,423
23,밭,410
24,구경,407
25,농장,405
26,입구,388
27,메밀,369
28,추천,355
29,단풍,347
30,식당,327
31,전북,321
32,풍경,320
33,주차,319
34,입장료,313
35,날씨,311
36,학원,305
37,음료,300
38,습지,295
39,마을,285
40,주문,275
41,정원,269
42,가족,258
43,청,256
44,미션,251
45,프로젝트,249
46,고창읍성,248
47,꽃객,245
48,맛집,244
49,고창군,242
