,키워드,언급수
0,대구,3596
1,공원,1825
2,달서구,1125
3,카페,1009
4,여행,774
5,시간,674
6,맛집,653
7,사진,648
8,모집,644
9,맛,601
10,대구광역시,599
11,체험,594
12,달성,557
13,사람,543
14,서울특별시,515
15,방문,502
16,가을,499
17,집,490
18,골목,459
19,주문,452
20,동구,414
21,추천,403
22,문화,391
23,커피,384
24,메뉴,378
25,축제,375
26,수목원,373
27,센터,369
28,중구,367
29,수성구,365
30,달성군,364
31,서울,344
32,시장,343
33,주차,340
34,북구,324
35,박물관,322
36,위치,314
37,고기,304
38,단풍,290
39,친구,288
40,꽃,278
41,키즈,274
42,체육,270
43,문의,267
44,주차장,262
45,생태,260
46,부산,254
47,파크,248
48,마을,247
49,가격,239
