,키워드,언급수
0,김용임,2770
1,하춘화,2246
2,집,2193
3,여행,984
4,사람,868
5,목포,811
6,시간,664
7,영암,645
8,사진,603
9,전집,587
10,마을,586
11,노래,458
12,컴필,451
13,맛,439
14,용역,410
15,서울,407
16,체험,399
17,골든,391
18,코스,389
19,가을,377
20,바다,370
21,공원,342
22,카페,340
23,골프,321
24,휴게소,320
25,산,315
26,광주,315
27,월출산,312
28,여수,311
29,너,304
30,친구,303
31,이야기,290
32,엄마,286
33,택시,279
34,밤,273
35,꽃,272
36,전남,268
37,바람,268
38,해남,266
39,축제,260
40,버스,259
41,아침,257
42,숙소,255
43,방문,255
44,양지은,255
45,그대,254
46,이제,251
47,앨범,247
48,풍경,246
49,하늘,245
