,키워드,언급수
0,인제,2289
1,여행,1422
2,강원도,1110
3,가을,977
4,사진,915
5,단풍,875
6,시간,834
7,꽃,753
8,자작나무숲,697
9,숲,627
10,자작나무,625
11,집,599
12,사람,592
13,코스,578
14,맛,569
15,축제,499
16,방문,474
17,숙소,424
18,속초,419
19,막국수,415
20,펜션,405
21,풍경,398
22,구경,392
23,아침,391
24,맛집,389
25,주차장,365
26,산,365
27,계곡,364
28,황태,358
29,백담사,352
30,예약,345
31,추천,335
32,식당,310
33,친구,304
34,주차,302
35,바다,302
36,밥,299
37,설악산,299
38,가족,295
39,입구,290
40,날씨,289
41,카페,286
42,마을,285
43,길이,284
44,폭포,284
45,이제,275
46,출발,270
47,힐링,270
48,엄마,269
49,주문,262
