,키워드,언급수
0,밀양,3934
1,사진,1308
2,여행,1303
3,가을,913
4,금시,872
5,단풍,797
6,은행나무,792
7,카페,781
8,시간,755
9,사람,734
10,체험,624
11,사과,607
12,주차,605
13,방문,579
14,맛,552
15,주차장,551
16,풍경,475
17,추천,433
18,맛집,426
19,터널,421
20,집,388
21,나무,376
22,영남루,364
23,펜션,349
24,입구,342
25,주문,334
26,코스,333
27,골,326
28,얼음,324
29,산,318
30,구경,317
31,월,309
32,경남,303
33,커피,295
34,못,295
35,연정,295
36,밀양시,294
37,뷰,294
38,숙소,292
39,포토,284
40,위치,276
41,주말,275
42,케이블카,275
43,친구,269
44,표충사,269
45,아침,263
46,부산,253
47,예약,253
48,날씨,252
49,돼지국밥,249
