,키워드,언급수
0,삼척,3716
1,여행,1826
2,바다,1650
3,사진,1117
4,시간,956
5,비치,844
6,쏠,793
7,맛,738
8,뷰,644
9,강원도,630
10,사람,603
11,해수욕장,579
12,숙소,576
13,카페,557
14,해변,543
15,맛집,526
16,바위,452
17,집,441
18,풍경,440
19,방문,440
20,동해,402
21,추천,394
22,구경,376
23,오션,375
24,아침,374
25,날씨,374
26,회,370
27,폭포,370
28,용,367
29,주문,353
30,저녁,351
31,코스,349
32,주차장,340
33,주차,327
34,가족,326
35,강릉,314
36,예약,312
37,밥,308
38,식당,307
39,출발,305
40,커피,297
41,산책,291
42,위치,290
43,입구,289
44,환선굴,286
45,타고,271
46,대게,266
47,리조트,264
48,메뉴,259
49,박,256
