,키워드,언급수
0,단양,3192
1,여행,1496
2,마늘,1355
3,사진,1227
4,시장,886
5,시간,786
6,맛,777
7,카페,776
8,사람,731
9,패러글라이딩,715
10,구경,700
11,스카이,638
12,워,628
13,만천하,501
14,풍경,485
15,숙소,474
16,추천,473
17,터널,471
18,맛집,458
19,집,446
20,주차장,433
21,방문,433
22,타고,419
23,닭강정,397
24,빵,378
25,산,377
26,코스,376
27,떡갈비,369
28,도담삼봉,365
29,주문,360
30,주차,339
31,아쿠아리움,325
32,겨울,320
33,위치,311
34,예약,303
35,날씨,292
36,카페산,286
37,아침,286
38,뷰,286
39,순대,280
40,버스,272
41,마늘빵,270
42,커피,266
43,만두,266
44,식당,262
45,암,260
46,저녁,259
47,잔,257
48,남,257
49,동굴,256
