,키워드,언급수
0,동해,2215
1,바다,1749
2,여행,1339
3,동해시,914
4,사진,848
5,바위,816
6,카페,760
7,시간,683
8,맛집,640
9,해변,634
10,사람,618
11,강원도,615
12,맛,587
13,등대,579
14,묵호,514
15,촛대,497
16,삼척,474
17,이름,466
18,전망대,465
19,집,461
20,스카이,459
21,해수욕장,444
22,마을,426
23,숙소,398
24,일출,387
25,묵호항,387
26,뷰,381
27,방문,378
28,강릉,358
29,논골,357
30,겨울,349
31,주문,342
32,파도,327
33,메뉴,320
34,추천,312
35,바람,308
36,비골,306
37,주차장,302
38,추,298
39,추암,286
40,구경,285
41,회,285
42,위치,279
43,다리,278
44,밸리,277
45,대게,273
46,풍경,271
47,망상,269
48,호텔,265
49,주차,265
