,키워드,언급수
0,제주,2925
1,여행,2347
2,제주도,2314
3,사진,1466
4,카페,1179
5,시간,1007
6,맛,764
7,바다,742
8,서귀포,718
9,서귀포시,699
10,사람,673
11,코스,661
12,겨울,660
13,숙소,632
14,방문,627
15,추천,601
16,동백꽃,465
17,체험,464
18,주차장,458
19,주문,448
20,맛집,438
21,호텔,438
22,풍경,428
23,커피,415
24,위치,415
25,예약,414
26,주차,410
27,귤,409
28,구경,405
29,날씨,399
30,뷰,375
31,한라산,361
32,메뉴,338
33,동백,335
34,집,327
35,포토,302
36,감귤,295
37,가족,290
38,입구,290
39,해변,288
40,오름,286
41,존,286
42,돼지,285
43,바람,284
44,고기,284
45,아침,271
46,식당,269
47,가격,267
48,도로,256
49,나무,256
