,키워드,언급수
0,장흥,1023
1,여행,929
2,사진,666
3,집,539
4,사람,539
5,시간,526
6,맛,485
7,마을,400
8,바다,378
9,카페,365
10,맛집,335
11,축제,334
12,광주,314
13,겨울,313
14,코스,310
15,버스,299
16,식당,274
17,서울,269
18,섬,256
19,출발,241
20,공원,240
21,가족,230
22,산,226
23,방문,222
24,강진,214
25,자연,210
26,굴,210
27,목포,210
28,눈썰매장,209
29,추천,208
30,숙소,207
31,풍경,207
32,유스퀘어,201
33,메뉴,201
34,시간표,198
35,전남,194
36,전망대,191
37,시장,189
38,이야기,189
39,이제,187
40,속,187
41,위치,186
42,문화,186
43,못,185
44,보성,185
45,코로나,182
46,정남진,182
47,친구,178
48,양주,177
49,작품,173
