,키워드,언급수
0,군산,3471
1,여행,1118
2,사진,819
3,맛,697
4,카페,643
5,마을,589
6,시간,572
7,선유도,522
8,맛집,519
9,바다,500
10,군산시,488
11,사람,473
12,방문,444
13,빵,436
14,주문,430
15,코스,401
16,버스,399
17,철길,393
18,주차,367
19,메뉴,345
20,역사,316
21,집,313
22,위치,308
23,짬뽕,305
24,주차장,290
25,추천,284
26,섬,278
27,일본,276
28,전북,268
29,봉,263
30,공원,261
31,대장,257
32,이성당,255
33,호텔,250
34,새만금,248
35,영화,248
36,밥,246
37,사진관,244
38,커피,243
39,추억,236
40,회,233
41,풍경,221
42,가족,213
43,구경,201
44,숙소,201
45,가격,196
46,분위기,195
47,친구,195
48,초원,191
49,코로나,190
