,키워드,언급수
0,섬,1563
1,신안,834
2,여행,678
3,퍼플,592
4,신안군,432
5,바다,388
6,마을,375
7,다리,354
8,대교,349
9,자은도,318
10,리조트,310
11,보라색,303
12,사람,296
13,천사,289
14,가거도,280
15,사진,273
16,목포,270
17,반월,269
18,시간,260
19,집,254
20,번역,254
21,펜션,247
22,소금,246
23,공원,241
24,씨,232
25,해변,222
26,김건희,219
27,바위,217
28,후보,217
29,전남,211
30,풍경,200
31,산,198
32,대법원,194
33,관광,193
34,배,187
35,교,186
36,박지,186
37,코스,183
38,증도,183
39,윤석열,181
40,해수욕장,178
41,코로나,175
42,분재,174
43,바람,162
44,지도,162
45,길이,158
46,영어,156
47,겨울,155
48,세계,151
49,박,151
