,키워드,언급수
0,춘천,2318
1,여행,918
2,닭갈비,799
3,감자,784
4,카페,773
5,맛,672
6,시간,665
7,사진,601
8,빵,581
9,사람,516
10,남이섬,508
11,방문,489
12,집,458
13,주문,428
14,춘천시,426
15,호텔,415
16,강원도,408
17,맛집,403
18,펜션,366
19,메뉴,359
20,추천,334
21,위치,324
22,막국수,310
23,주차,300
24,커피,293
25,겨울,291
26,주차장,287
27,예약,269
28,코스,265
29,강원,241
30,타고,239
31,서울,231
32,고기,224
33,가족,217
34,가평,216
35,소양강,214
36,숙소,210
37,케이블카,208
38,밭,203
39,분위기,202
40,할인,201
41,스카이,201
42,체험,201
43,만,199
44,음식,196
45,뷰,195
46,워,195
47,산,185
48,배,182
49,가격,181
