,키워드,언급수
0,태안,3243
1,여행,1854
2,바다,1615
3,사진,1289
4,펜션,1267
5,카페,1098
6,해수욕장,1035
7,시간,878
8,맛,669
9,안면도,665
10,숙소,649
11,사람,641
12,커피,587
13,뷰,566
14,맛집,562
15,방문,519
16,집,488
17,바베큐,488
18,추천,480
19,포,459
20,게국지,435
21,바람,434
22,코스,408
23,해변,402
24,두리,395
25,가족,386
26,조개,386
27,날씨,377
28,주문,368
29,체험,354
30,예약,339
31,위치,336
32,해안사,335
33,주차장,328
34,구경,320
35,서해,317
36,주차,316
37,풍경,311
38,구,298
39,동굴,295
40,저녁,289
41,밥,282
42,박,281
43,메뉴,275
44,식당,271
45,아침,267
46,고기,267
47,갯벌,263
48,봄,257
49,꽃게,255
