,키워드,언급수
0,목포,3230
1,카페,1242
2,맛집,765
3,맛,747
4,번길,731
5,여행,711
6,공원,681
7,시간,534
8,유달산,474
9,목포시,472
10,마을,466
11,커피,444
12,서울,410
13,빵,396
14,박물관,391
15,바다,376
16,사진,372
17,홍어,356
18,낙지,351
19,메뉴,349
20,산,340
21,회,337
22,방문,336
23,주문,336
24,코스,333
25,집,333
26,추천,320
27,사람,319
28,케이블카,318
29,바게트,310
30,전남,279
31,고하도,272
32,중구,265
33,위치,255
34,치즈,248
35,제주시,247
36,크림,246
37,새우,234
38,북항,223
39,섬,223
40,식당,221
41,음식,218
42,센터,215
43,고기,213
44,주소,210
45,주차장,205
46,부산,204
47,해상,204
48,제주,200
49,배,197
