,키워드,언급수
0,여수,5106
1,여행,2007
2,바다,1458
3,사진,1184
4,카페,1059
5,시간,967
6,맛,927
7,게장,729
8,맛집,706
9,뷰,684
10,사람,673
11,호텔,664
12,추천,660
13,여수시,617
14,주문,613
15,오동도,611
16,방문,603
17,이순신,557
18,주차,540
19,김밥,501
20,코스,498
21,밤,496
22,위치,488
23,주차장,481
24,낭만,474
25,섬,472
26,메뉴,471
27,공원,452
28,포차,450
29,테디베어,445
30,숙소,411
31,버거,409
32,집,396
33,광장,386
34,식당,385
35,케이블카,381
36,존,378
37,구경,371
38,포토,371
39,가족,370
40,갈치,370
41,오션,367
42,예약,362
43,밥,348
44,타고,345
45,전남,339
46,갓김치,330
47,양념,316
48,가격,315
49,루지,311
