,키워드,언급수
0,공주,2601
1,여행,1140
2,카페,992
3,사진,892
4,공산성,877
5,시간,818
6,체험,764
7,마을,685
8,공주시,650
9,방문,644
10,밤,620
11,사람,600
12,박물관,558
13,꽃,552
14,맛,534
15,충남,497
16,공원,497
17,축제,470
18,금강,463
19,추천,455
20,맛집,452
21,주차장,444
22,집,381
23,화장실,379
24,위치,369
25,문화,360
26,커피,358
27,주차,357
28,백제,353
29,숙소,347
30,주문,342
31,코스,326
32,역사,326
33,자연,314
34,섬,304
35,대전,303
36,동학사,301
37,풍경,297
38,무령왕릉,295
39,무료,287
40,구경,286
41,수국,271
42,가족,270
43,입구,266
44,식당,254
45,경기도,252
46,메뉴,251
47,칼국수,249
48,분위기,248
49,뷰,247
