,키워드,언급수
0,보성,4381
1,녹차,2990
2,여행,1981
3,밭,1396
4,사진,1259
5,시간,835
6,체험,676
7,카페,668
8,사람,657
9,맛,593
10,전남,593
11,마을,574
12,바다,567
13,벌교,525
14,코스,524
15,꼬막,502
16,추천,491
17,풍경,452
18,세계,428
19,해수욕장,427
20,집,423
21,방문,417
22,숙소,406
23,공룡,398
24,율포,398
25,구경,374
26,힐링,370
27,공원,370
28,엑스포,346
29,맛집,346
30,전망대,338
31,박물관,337
32,나무,336
33,초록,334
34,정원,315
35,문화,314
36,여행지,312
37,날씨,309
38,꽃,305
39,식당,291
40,주문,286
41,주차장,280
42,팥빙수,280
43,보성군,277
44,여관,276
45,벽화,276
46,입구,270
47,차밭,266
48,암산,263
49,빵,257
