,키워드,언급수
0,서천,1826
1,여행,1525
2,시간,1039
3,체험,879
4,사진,761
5,바다,731
6,마을,630
7,축제,582
8,사람,561
9,장항,547
10,맛,505
11,군산,503
12,집,501
13,공원,481
14,모시,472
15,한산,438
16,방문,432
17,카페,407
18,충남,398
19,주차장,394
20,화장실,375
21,추천,371
22,코스,367
23,갯벌,367
24,꽃,358
25,가족,357
26,맛집,336
27,장미,335
28,구경,333
29,버스,332
30,자연,326
31,워,315
32,스카이,309
33,광어,300
34,회,297
35,관람,296
36,산,293
37,전시,290
38,관광,282
39,숲,276
40,생태,276
41,놀이터,275
42,국립생태원,274
43,만,272
44,조개,270
45,서천군,267
46,어린이,261
47,주차,259
48,무료,254
49,위치,251
