,키워드,언급수
0,속초,5300
1,여행,1856
2,맛,1050
3,바다,1001
4,카페,970
5,시간,846
6,맛집,838
7,사진,800
8,강원도,778
9,사람,748
10,주문,677
11,회,658
12,방문,656
13,속초시,622
14,뷰,613
15,주차,580
16,주차장,558
17,메뉴,549
18,물회,545
19,해수욕장,538
20,집,533
21,추천,514
22,대게,510
23,위치,508
24,숙소,455
25,설악산,418
26,마을,414
27,청초,397
28,호텔,393
29,해변,383
30,대관람차,381
31,코스,360
32,중앙시장,357
33,커피,355
34,게,352
35,화장실,346
36,식당,324
37,영,324
38,닭강정,323
39,빵,310
40,홍게,308
41,가족,305
42,포장,305
43,가격,302
44,밥,299
45,대포항,298
46,바위,296
47,구경,292
48,금정,292
49,음식,287
