,키워드,언급수
0,순창,1452
1,여행,1184
2,사람,630
3,사진,611
4,시간,604
5,체험,597
6,집,578
7,다리,559
8,카페,438
9,맛,437
10,마을,416
11,전북,411
12,버스,404
13,하늘,403
14,바위,393
15,계산,378
16,채,358
17,고추장,351
18,산,350
19,용궐산,340
20,섬진강,338
21,담양,336
22,화장실,330
23,주차장,320
24,터미널,311
25,강천산,291
26,길이,277
27,추천,256
28,맛집,252
29,공원,251
30,함,250
31,계단,245
32,힐링,245
33,방문,242
34,가족,241
35,출발,235
36,전주,234
37,서울,232
38,풍경,222
39,이제,221
40,자전거,220
41,엄마,217
42,코스,210
43,숙소,209
44,입구,208
45,강,207
46,광주,206
47,순창군,202
48,닝,202
49,날씨,197
