,키워드,언급수
0,고성,2037
1,여행,1458
2,바다,1417
3,라벤더,986
4,사진,940
5,카페,784
6,강원도,782
7,해변,749
8,속초,694
9,숙소,687
10,뷰,644
11,시간,637
12,사람,604
13,해수욕장,582
14,맛,500
15,바위,475
16,집,403
17,오션,394
18,날씨,377
19,커피,337
20,방문,331
21,꽃,327
22,주차장,326
23,리조트,322
24,추천,317
25,아침,305
26,수국,303
27,진,292
28,주문,287
29,주차,283
30,막국수,283
31,가족,281
32,송지호,276
33,아야,276
34,펜션,274
35,맛집,265
36,구경,255
37,출발,250
38,하늬,247
39,예약,241
40,바람,227
41,저녁,226
42,정원,226
43,물회,224
44,역시,219
45,박,217
46,위치,216
47,입구,214
48,식당,212
49,풍경,208
