,키워드,언급수
0,충주,2831
1,동굴,1135
2,여행,1115
3,카페,722
4,사진,712
5,시간,583
6,체험,564
7,맛,552
8,활옥,522
9,방문,419
10,맛집,410
11,사람,401
12,커피,396
13,주문,394
14,코스,393
15,집,356
16,중앙,355
17,탑,348
18,막국수,337
19,수안보,335
20,악어,331
21,추천,321
22,봉,304
23,메뉴,304
24,카약,295
25,공원,282
26,예약,268
27,주차,264
28,주차장,261
29,구경,255
30,고기,254
31,위치,251
32,입구,247
33,펜션,241
34,뷰,235
35,꿩,233
36,호텔,230
37,충주시,224
38,충주호,219
39,가족,216
40,와인,206
41,숙소,205
42,식당,200
43,장소,199
44,보트,196
45,산책,196
46,날씨,193
47,풍경,192
48,저녁,191
49,밥,189
