,키워드,언급수
0,강릉,4199
1,여행,1945
2,해변,1317
3,바다,1303
4,맛,1174
5,카페,1102
6,사진,1094
7,시간,1009
8,커피,942
9,사람,833
10,순두부,817
11,주문,710
12,맛집,699
13,강원도,620
14,강릉시,603
15,추천,576
16,숙소,555
17,호텔,536
18,방문,533
19,뷰,523
20,메뉴,501
21,위치,500
22,주차장,477
23,집,474
24,주차,457
25,주문진,456
26,예약,435
27,빵,422
28,초당,415
29,코스,408
30,여름,383
31,해수욕장,383
32,회,378
33,가족,348
34,밥,333
35,구경,325
36,가격,324
37,아르떼,322
38,경포,321
39,강원,315
40,날씨,297
41,안목,294
42,줄,288
43,중앙시장,283
44,음식,283
45,박,280
46,포토,278
47,존,275
48,저녁,274
49,가게,271
