,키워드,언급수
0,거제,3199
1,거제도,1848
2,여행,1680
3,사진,1327
4,바다,1230
5,카페,933
6,수국,906
7,시간,904
8,맛집,804
9,뷰,779
10,맛,730
11,사람,659
12,거제시,657
13,해수욕장,639
14,펜션,594
15,방문,558
16,추천,558
17,매미,555
18,바람,552
19,숙소,528
20,주문,514
21,주차,512
22,여름,478
23,메뉴,448
24,주차장,435
25,가족,430
26,외도,429
27,포토,427
28,코스,426
29,마을,421
30,섬,419
31,위치,391
32,존,391
33,커피,388
34,언덕,383
35,날씨,382
36,집,375
37,풍경,370
38,오션,366
39,예약,362
40,경남,359
41,구경,332
42,풀,316
43,배,311
44,밥,305
45,체험,297
46,꽃,292
47,계곡,283
48,호텔,280
49,입구,279
