,키워드,언급수
0,부여,4065
1,연꽃,2248
2,궁남지,1512
3,여행,1462
4,축제,1239
5,사진,1212
6,백제,810
7,시간,772
8,사람,661
9,박물관,550
10,주차장,501
11,맛,490
12,카페,489
13,정림사지,472
14,방문,456
15,구경,452
16,낙화암,446
17,체험,438
18,리조트,428
19,집,419
20,문화,403
21,막국수,394
22,롯데,387
23,숙소,386
24,버스,386
25,추천,383
26,서동,377
27,맛집,359
28,역사,358
29,밤,348
30,공주,322
31,여름,319
32,주차,319
33,꽃,318
34,주문,306
35,나무,302
36,코스,302
37,공원,301
38,백마강,300
39,존,288
40,저녁,281
41,예약,280
42,연못,280
43,가족,269
44,포토,267
45,부소산성,260
46,입구,258
47,이야기,255
48,날씨,255
49,풍경,247
