,키워드,언급수
0,울진,3161
1,바다,1728
2,여행,1708
3,사진,925
4,스카이,788
5,카페,634
6,시간,624
7,대게,602
8,사람,550
9,숙소,540
10,레일,496
11,맛,486
12,성류굴,464
13,집,461
14,뷰,455
15,코스,451
16,산,434
17,온천,433
18,죽변,430
19,여름,393
20,방문,389
21,해변,387
22,맛집,365
23,워,364
24,공원,348
25,구경,337
26,속,334
27,입구,334
28,날씨,333
29,주차장,333
30,추천,328
31,식당,327
32,펜션,321
33,가족,316
34,아침,310
35,주차,306
36,예약,304
37,덕,303
38,동해,301
39,해수욕장,301
40,밥,282
41,망양정,276
42,체험,266
43,등기,265
44,다리,263
45,동굴,261
46,주문,259
47,게,259
48,경북,251
49,물놀이,250
