,키워드,언급수
0,당진,2660
1,카페,1723
2,사진,1354
3,여행,1248
4,사람,739
5,시간,695
6,맛,679
7,맛집,656
8,미술관,654
9,바다,638
10,방문,586
11,주문,539
12,삽,537
13,교호,531
14,집,495
15,아미,439
16,추천,423
17,메뉴,396
18,뷰,388
19,공원,356
20,주차장,354
21,빵,349
22,날씨,346
23,주차,345
24,커피,324
25,존,311
26,마을,310
27,구경,309
28,풍경,296
29,함,290
30,충남,289
31,입구,287
32,위치,285
33,포토,285
34,체험,283
35,밥,282
36,우렁이,275
37,가격,268
38,전시,262
39,여름,260
40,친구,256
41,서해,254
42,코스,253
43,면,250
44,놀이동산,247
45,식당,231
46,음료,219
47,분위기,217
48,숙소,214
49,로드,213
