,키워드,언급수
0,양양,3220
1,여행,1936
2,서핑,1408
3,바다,1280
4,사진,1233
5,해변,1094
6,사람,1093
7,비치,990
8,숙소,934
9,시간,891
10,카페,821
11,맛,760
12,강원도,641
13,피,562
14,해수욕장,545
15,날씨,538
16,집,538
17,친구,518
18,맛집,489
19,여름,482
20,속초,459
21,저녁,441
22,아침,437
23,낙산사,427
24,주문,418
25,예약,408
26,추천,400
27,뷰,399
28,분위기,395
29,방문,384
30,커피,378
31,핫,377
32,휴가,371
33,강습,355
34,인구,343
35,출발,339
36,주차,337
37,박,336
38,주차장,335
39,호텔,335
40,구경,334
41,파도,325
42,맥주,308
43,줄,307
44,물놀이,301
45,밥,290
46,역시,283
47,배,281
48,함,272
49,게,269
