,키워드,언급수
0,제주,2645
1,제주시,1543
2,제주도,1445
3,여행,1397
4,맛,1220
5,사진,1005
6,카페,997
7,맛집,948
8,시간,867
9,주문,822
10,메뉴,814
11,방문,681
12,공항,676
13,호텔,631
14,추천,601
15,사람,574
16,숙소,546
17,바다,519
18,고기,453
19,위치,447
20,주차,437
21,커피,425
22,집,420
23,음식,382
24,밥,357
25,김밥,350
26,식사,341
27,돼지,339
28,식당,334
29,분위기,330
30,가격,329
31,저녁,310
32,예약,310
33,말고기,308
34,새우,306
35,주차장,305
36,뷰,286
37,친구,282
38,구경,276
39,마지막,272
40,갈치,266
41,아침,265
42,게,264
43,가게,264
44,먹기,260
45,걸,257
46,가족,254
47,코스,242
48,역시,240
49,시장,238
