,키워드,언급수
0,경주,4569
1,여행,2001
2,사진,1288
3,시간,1075
4,카페,800
5,맛,783
6,첨성대,662
7,방문,659
8,경주시,633
9,주차장,601
10,사람,588
11,주차,549
12,추천,548
13,맛집,529
14,숙소,506
15,코스,499
16,위치,480
17,대릉,472
18,가을,464
19,구경,450
20,불국사,432
21,체험,431
22,경북,421
23,가족,420
24,주문,408
25,존,407
26,월,394
27,집,391
28,메뉴,388
29,마을,371
30,포토,360
31,신라,351
32,정교,343
33,입구,339
34,커피,330
35,예약,327
36,빵,326
37,동궁,323
38,호텔,320
39,풀,317
40,뷰,309
41,펜션,309
42,야경,307
43,주상절리,307
44,저녁,303
45,날씨,302
46,분위기,301
47,밥,296
48,역사,294
49,무료,289
