,키워드,언급수
0,평창,3518
1,여행,1952
2,사진,1082
3,메밀,953
4,시간,917
5,강원도,911
6,목장,804
7,맛,751
8,카페,683
9,꽃,598
10,사람,584
11,호텔,580
12,축제,552
13,산,549
14,대관령,535
15,방문,533
16,코스,533
17,숙소,528
18,집,517
19,가족,514
20,백일홍,494
21,체험,494
22,날씨,455
23,양,451
24,월정사,451
25,맛집,446
26,추천,444
27,이효석,442
28,떼,435
29,하늘,420
30,풍경,418
31,식당,407
32,타고,397
33,예약,396
34,가을,385
35,구경,368
36,발,363
37,아침,339
38,케이블카,337
39,리조트,333
40,주문,323
41,루지,321
42,휘닉스,321
43,봉평,306
44,저녁,304
45,한우,286
46,빵,285
47,바람,284
48,뷰,282
49,커피,282
